System,"WindowsSize 
(ms)","BatchFileSize
(elements)","Workload
(elements/sec)","Latency
(ms)","Processed elements
(elements)","Processed elements 2x 
(elements)",Comment,"BatchFileSize
(KB)"
Flink,1000,100,5000,19.6,5000,5000,Historical Data vs Latency,14.6
Flink,1000,500,5000,24.1,5000,5000,Historical Data vs Latency,73
Flink,1000,1000,5000,19.2,5000,5000,Historical Data vs Latency,129.1
Flink,1000,10000,5000,24.3,5000,5000,Historical Data vs Latency,1300
Flink,1000,100000,5000,21,5000,5000,Historical Data vs Latency,12800
Flink,1000,150000,5000,88.43,5000,5000,Historical Data vs Latency,19200
Flink,1000,200000,5000,100.05,5000,5000,Historical Data vs Latency,258000
Flink,1000,250000,5000,110.4,3810,3810,Historical Data vs Latency,264400
Flink,1000,300000,5000,140.23,3465,3465,Historical Data vs Latency,387000
Flink,1000,500000,5000,191.013,1885,1885,Historical Data vs Latency,637000
Flink,1000,800000,5000,80.34,1498,1498,Historical Data vs Latency,1019200
Flink,1000,1000000,5000,10,956,956,Historical Data vs Latency,1277000
Flink,1000,200000,5000,100.05,5000,5000,Windows VS Latency,258000
Flink,2000,200000,5000,661,10000,10000,Windows VS Latency,258000
Flink,3000,200000,5000,668,15000,15000,Windows VS Latency,258000
Flink,4000,200000,5000,668,20000,20000,Windows VS Latency,258000
Flink,5000,200000,5000,722,25000,25000,Windows VS Latency,258000
Flink,6000,200000,5000,685,30000,30000,Windows VS Latency,258000
Flink,7000,200000,5000,741,35000,35000,Windows VS Latency,258000
Flink,8000,200000,5000,690,40000,40000,Windows VS Latency,258000
Flink,9000,200000,5000,686,45000,45000,Windows VS Latency,258000
Flink,10000,200000,5000,675,50000,50000,Windows VS Latency,258000
Flink,15000,200000,5000,687,75000,75000,Windows VS Latency,258000
Flink,20000,200000,5000,687,100000,100000,Windows VS Latency,258000
Flink,25000,200000,5000,729,125000,125000,Windows VS Latency,258000
Flink,30000,200000,5000,677,150000,150000,Windows VS Latency,258000
Flink,1000,200000,1000,100.05,1000,1000,Workload vs Latency,258000
Flink,1000,200000,2000,98.4,2000,2000,Workload vs Latency,258000
Flink,1000,200000,3000,101.34,3000,3000,Workload vs Latency,258000
Flink,1000,200000,4000,105.43,4000,4000,Workload vs Latency,258000
Flink,1000,200000,5000,120.34,5000,5000,Workload vs Latency,258000
Flink,1000,200000,6000,104.5,5250,5250,Workload vs Latency,258000
Flink,1000,200000,7000,92.6,5609,5609,Workload vs Latency,258000
Flink,1000,200000,8000,168.6,6068,6068,Workload vs Latency,258000
Flink,1000,200000,9000,180,6644,6644,Workload vs Latency,258000
Flink,1000,200000,10000,98.26,5786,5786,Workload vs Latency,258000
Flink,1000,200000,15000,131,5249,5249,Workload vs Latency,258000
Flink,1000,200000,20000,140,6823,6823,Workload vs Latency,258000
Flink,1000,200000,25000,181,8494,8494,Workload vs Latency,258000
Flink,1000,200000,30000,162,8654,8654,Workload vs Latency,258000
Flink,1000,200000,40000,180.03,9535,9535,Workload vs Latency,258000
Flink,1000,200000,50000,207.32,10783,10783,Workload vs Latency,258000
